,count,hate_speech,offensive_language,neither,class,tweet
22052,3,0,3,0,1,"The nerve of people though... Cant take nobody serious, i continuously laugh at you hoes."
22053,3,0,3,0,1,The nerve of this nicca .. Step on my crispy ass shoes wit them dusty ass timbs!
22054,3,0,3,0,1,The nice side of Long Beach really got hoes lol
22055,3,0,3,0,1,The only exception with the baby momma is she not stuck on you and ghetto bitch that I will stomp her ass like an African ritual
22057,3,0,3,0,1,The only part of the awards that I liked was the dykes part of the cypher &amp; the old skool female MCs.
22058,3,0,3,0,1,The only reason I cheat is to show these bitches what kind of dick my girl be getting.
22059,3,0,2,1,1,The only thing about niccas is they be followers smh .. Be ya self everyone else is taken!!
22060,3,0,3,0,1,The only time I screamed was when Tyrese tackled that hoe ass bitch #TheWalkingDead
22061,3,0,3,0,1,"The only time of year I'll bitch about not having cable: when ""Hocus Pocus"" comes on. #fml"
22062,3,2,1,0,0,The people who have historically been called white trash were called that for a reason. They're white trash. The truth hurts.
22063,3,0,3,0,1,"The pilgrims was high as fuck, like ""Lets kill a big ass bird and eat it with a billion other things"
22064,3,0,3,0,1,The pilot seen my eyes and said they awfully red I told him I get high as you bitch I'm the man http://t.co/uloUE2qx3p
22065,3,0,3,0,1,The power of Christ compels you to pop that pussy.
22066,3,0,3,0,1,"The price is wrong, bitch"
22067,3,0,0,3,2,The pro-ISIS Jihadi prayer from Hajj making the rounds now. http://t.co/5ee3eDXuOa
22068,3,0,0,3,2,"The punishment should fit the crime. For instance, if you take the last Twinkie you should choke on that Twinkie. Twinkie's are sacred."
22069,3,0,3,0,1,The question alone &#128553;&#128514;&#128514;RT @KfromtheG: What city got the most bitches with gold teeth?
22070,3,2,1,0,0,The reason Shelby hates sandwiches is because he is a queer. @RonandFezSXM
22071,3,0,0,3,2,The redskins just begging to lose this game smh
22072,3,0,1,2,2,The redskins should change their name to the injuns
22073,3,0,1,2,2,The republican teabaggers hate this but screw em. http://t.co/6iutHYvhQm
22074,3,2,0,1,0,The rich kids of beverly hills is trash and not even entertaining trash. And why do they all look mid thirties?
22075,3,0,0,3,2,The right for an English person to go about his business is more important than any suspicion of some rouge wog cop.
22076,3,1,2,0,1,The same bitches telling you to let it go are the same ones that would go in and grab it right after you.&#128175;&#128079;
22077,3,0,3,0,1,The same bitches that failed geometry know exactly what angle to use to take that perfect selfie
22078,3,0,3,0,1,The same bitches you chicks posing wit in pics for Instagram likes be the same bitches texting your boyfriends when he ain't textin you back
22079,3,0,3,0,1,The shit that you bitches brag about is hilarious
22080,3,0,3,0,1,The solution is simple : buy a bitch
22081,3,0,3,0,1,The spot is open for you take so your better grab it before another bitch do and if she is determined and beautiful enough she will do it!
22082,3,1,2,0,1,"The streets a dirty hoe, niggad try to wife it though."
22083,3,2,1,0,0,The thing about working with black people. These bitches never on fucking time then wanna complain about a short check. Bitch die.Today. now
22084,3,0,3,0,1,"The thinner the eyebrow, the crazier the bitch"
22085,3,0,3,0,1,The tweeter gurl is on Tumblr using a taser on roaches that I'm assuming are in her house. You bitches have no shame.
22086,3,1,0,2,2,The two ringless fags RT @EverybodyHatesX: Barkley &amp; Reggie were talking nonsense the entire game
22087,3,0,3,0,1,The type of bitches that I like think broke is disgusting
22088,3,0,3,0,1,The ugliest bitches swear they bad.. But &#128564;
22089,3,0,3,0,1,The undesirables RT @KingHorseDick: @viaNAWF &#128557;&#128557;&#128557;&#128557;&#128557; these bitches big bruh
22090,3,0,0,3,2,The value of Abu Qutada&#8217;s statement is that his credentials in Jihadi circles are impeccable. He&#8217;s facing trial on terrorism charges.
22091,3,0,3,0,1,The way Hawk Girl did Green Lantern is why I do not trust these hoes nope
22092,3,0,3,0,1,"The way I fuck her, you would think I love this bitch"
22093,3,0,3,0,1,The way I see it.... you bitches are fake by affiliation ..!
22094,3,1,2,0,1,"The way a Klansman would say ""nigger slave"" is the way the @GOP says ""Conservative"". They @GOP literally sees conservatives as their slaves."
22095,3,0,3,0,1,The weeknd is why bitches love dark skin fellas now.
22096,3,0,3,0,1,"The whole afternoon has been about the ""deep voiced bitch"""
22097,3,0,3,0,1,The wife's new bitch... Her name is Ursula.. http://t.co/h07MrMAwXP
22098,3,0,3,0,1,The willow tree in Pocohontas was my bitch at 7 years old
22099,3,1,2,0,1,The word bitch don't apply to all women but all women got a little bitch in em
22100,6,0,6,0,1,The world is yours n every bitch in it
22101,3,0,3,0,1,The world will be a better place when bitches like her dies lonely http://t.co/vj45zL1zKF
22102,3,0,0,3,2,Thee Bears are trash tho...
22103,3,1,2,0,1,"Their #1 insult. Even if it's self-deprecating. The first thing straights go to is faggot, queer, tranny, gay. Even supposed ""allies""."
22104,3,0,0,3,2,Their gotta be a loaded lux vs Murda mook 3
22105,3,0,1,2,2,Their salsa negro is awesome... @StacyMungo @Loriisright
22106,3,0,3,0,1,Them Bad bitches blow kisses by my earlobe
22107,3,0,0,3,2,Them brownies tho &#128524;&#128076;
22108,3,0,3,0,1,Them chicks tried.to put me under the fire lol! I'm not a dirt bag courting with a dumb hoe though.
22109,6,1,5,0,1,Them gay dudes stay with the baddest bitches.....no punch line
22110,3,0,3,0,1,Them hoes don't like me &#128514;&#128514;&#128514;&#128514;&#128514;&#128553;&#128553;&#128553;&#128553;&#128530;&#9996;&#65039;
22111,3,1,2,0,1,Them hoes gone be called strvp
22112,3,0,2,1,1,Them hoes look so clean on foot.
22113,3,0,3,0,1,Them old bytches sorry as phuck in the sack... &#171;@Mr_JSmart24 The pussy get ripe in her 30's&#187;
22114,3,0,3,0,1,Them pretty bitches love me them bitches love me #GUCCCCCI
22115,3,0,3,0,1,"Them pretty nail bitches, them bail you outta jail bitches."
22116,3,2,1,0,0,Them queer ass shorts Rabchenko got on
22117,3,0,3,0,1,"Them quicc to blast bitches, them all about the CASH Bitches &#128564;&#128184;&#128176;"
22118,3,0,3,0,1,Them quiet girls be hoes to watch out
22119,3,0,3,0,1,Them shits ugly hoe. RT @SirRocObama: ......... RT @BurgerKing: All these nuggets &amp; u still actin chicken. http://t.co/tRy8Lvyo9O
22120,6,0,6,0,1,Them shootas is out at ma grandmama house I ain't been around this bitch ina minute .
22121,3,0,3,0,1,"Them shootas is out by my grandmoma house, I ain't been round this bitch in a MINUTE"
22122,3,1,2,0,1,Them squirrels are faggots b RT @80sbaby4life #ThreesomeThursdays ? http://t.co/7xWOp3y2
22123,6,0,6,0,1,Them taz angel hoes need some furniture
22124,3,0,3,0,1,Them women at the bar @ #happyhour are there for your pleasure them old hoes be pure #savages &#128514;&#128514;&#128514;
22125,3,0,3,0,1,Then I hit that bitch like a free throw !
22126,3,0,1,2,2,"Then I went inside, in order to hide from mutant bird"
22127,3,0,0,3,2,Then Zerah the Cushite came against them with an army of one million men and 300 chariots. They came as far as Mare&#8230; http://t.co/LpbeB04j4r
22128,3,0,3,0,1,Then again... bitches are expensive and I'm on a budget boo. I can't afford all that shit you bitches be wanting.
22129,3,0,3,0,1,Then again... i shoot bitches in the ass for doing some stupid shit like key my car or bust my windows.
22130,3,0,3,0,1,Then bitches gon fuck just because money long .
22131,3,0,3,0,1,Then i fuck yo bitch
22132,6,2,4,0,1,Then the Mexican bitch wanna speak some other fuckin language &amp; then give attitude. Can't speak right ass! Tf
22133,6,1,5,0,1,Then there's this stupid bitch in my class that literally has to ask a question every time the professor says something.
22134,3,0,3,0,1,"Then they wanna ask you Maad questions, bitch just tell me what you need me to do and stop interrupting my playlist"
22135,3,0,3,0,1,Then this bitch singing sounds like a horse being choked
22136,3,0,3,0,1,Then ya'll idolize Kanye when he wifed up a hoe. Lol
22137,3,0,3,0,1,"Then you would've died if you didn't breathe, bitch"
22138,3,0,3,0,1,There are 2 types of niggas in this world. Real niggas ... &amp; bitch niggas
22139,3,0,1,2,2,"There are LOTS of top tier wrestlers who started as ""yardies""."
22140,3,0,3,0,1,"There are girls. There are women. There are ladies. And there are bitches. You ma'am, is a beeeitch. A dumb ass bitch hahaha."
22141,3,0,2,1,1,There are some real life hoes on IG. Crazy.
22142,3,1,2,0,1,There are some retarded ass movies on Netflix
22143,3,0,0,3,2,There is a trash bag in my hall thats been there for like 2 wks. Weird thing: it changes consistency every few days
22144,3,0,0,3,2,"There is no such rule as ""tie goes to the runner"". Out or safe. #Yankees #JohnSterling"
22145,3,0,3,0,1,There is nothing wrong with Ariana Grande..... Just cause she don't look like hoe.... Y'all gotta a problem...
22146,3,0,0,3,2,There is this yellow thing in the sky. I don't know what to make of it.
22147,3,0,3,0,1,There it is these bitches be having joint custody dick and acting up. Understand that's part time. No benefits.
22148,3,1,2,0,1,There may be a fag hag switch a 'comin!
22149,3,0,1,2,2,There should be a side trip into DC to Charlie Palmers during CPAC @SHannitysHair @TheFriddle @Glock4Piper @alleygirl2409
22150,3,0,3,0,1,There was a reason why I blocked this bitch
22152,6,0,5,1,1,There you go acting like a hoe &#128530;
22153,3,0,0,3,2,There's a bird nest in my garage and so now when the birds fly out they poop on my car. &#128529;
22154,3,0,3,0,1,There's a different between ya bitch a ya friends your bitch Rey to build wit you your friends just tryna compete.
22155,3,0,1,2,2,There's a green bowl high. A spliff high. A j high. A blunt high. A moke high. And a Moke + coffee high.
22156,3,0,3,0,1,There's a lot of big booty bitches at pharr gym &#128563;&#128584;&#127825;
22157,3,0,1,2,2,There's a special place in hell for people who slam on their brakes for yellow lights &#128532;&#128299;
22158,6,0,6,0,1,There's apparently a wee cunt who's a year younger than me called Sean brown being cheeky about me lol
22159,3,0,3,0,1,"There's dudes on twitter who have no respect for their dick.You know,the mirror selfie niggaz,the nude droppers,dick avis,pussy eating avis?"
22160,3,0,0,3,2,"There's gonna be a lot of trash talk today
#worldcup"
22161,3,1,2,0,1,There's gotta be like 20 white trash motherfuckers living in that house and I don't think any of them have a job
22162,3,0,3,0,1,There's like 5 injuries a game in football.. Shit trash lol
22163,3,0,3,0,1,There's like one of my ex's that's still kinda cute. Most them bitches got fat.
22164,3,0,3,0,1,"There's no one to flirt with, Mad bitches in my inbox. Skrr skrr"
22165,3,0,3,0,1,There's not enough day in the hours to cheat on her if she's sucking your dick right. Too drained to look for other mouth and pussy
22166,3,0,3,0,1,There's other bad bitches &#128514;&#128514;
22167,3,0,1,2,2,There's someone riding around the Robinson Walmart in a lawn mower. With ghetto headlights added. #reallife
22168,3,0,3,0,1,"Theres a girl in your avi, you must get so many bitches"
22169,3,0,3,0,1,Theres one dude i can not stand at my school because he stays on the freshman girls and girls from other schools cause none fw him. #bitch
22170,3,0,3,0,1,These UT hoes be goin !!!!!!
22171,6,0,1,5,2,These are insane and Cigars trash!? Foam done bumped his head RT @FoamWright: These are insane. Like so insane. http://t.co/5umpDoeORz
22172,3,0,3,0,1,These bad bitches really ain't that bad when you see a pic of Aaliyah
22173,3,0,0,3,2,These birds messy.
22174,3,0,3,0,1,These bitches ain't shit I forgot to mention .
22175,3,0,3,0,1,These bitches ain't to be trusted...
22176,3,0,3,0,1,These bitches aint playin'. A jealous woman does better research than the FBI.
22177,3,0,3,0,1,These bitches always trippin
22178,3,0,3,0,1,These bitches are taking forevs doe
22179,3,0,3,0,1,These bitches be judging like they experience life and in the billion dollar club. I'm highly favor &amp; doing pretty damn well &#128129;
22180,3,0,3,0,1,These bitches been killin me all day
22181,3,0,3,0,1,These bitches boringgggg
22182,3,0,3,0,1,"These bitches both average. Lmao @ ""baddie"" &#8220;@VineForTheByrd: Pretty girls be like &#128129;https://t.co/nVuHkNAN5m&#8221;"
22183,3,1,2,0,1,These bitches crazzzyyyyyy
22184,3,0,3,0,1,These bitches dead be sucking and fucking niggaz with no condom...then wanna rock a whitw dress the next day like bout dem clean
22185,3,0,3,0,1,These bitches dont want no boyfriend ... They want a pimp
22186,3,0,3,0,1,These bitches fake one min talking about a hoe next min bestfriends with the hoe
22187,3,1,2,0,1,These bitches finna fuck up my birthday week...
22188,3,0,3,0,1,These bitches funny like mike epps
22189,3,0,3,0,1,"These bitches gotta realize that ""their nigga"" WANTS ME &#128514; if he doesn't now he did several occasions before &#128564;"
22190,9,0,9,0,1,These bitches irri.. irri irri..irri irri
22191,3,0,3,0,1,These bitches irritating
22192,3,0,3,0,1,These bitches is crazy
22193,3,0,3,0,1,These bitches is wild
22194,3,0,3,0,1,These bitches loud for no reason
22195,3,0,3,0,1,These bitches love me. These niggas copy
22196,3,0,3,0,1,These bitches love soda
22197,3,0,3,0,1,These bitches love sodaa
22198,3,0,3,0,1,These bitches man they love to HARASS
22199,3,0,3,0,1,These bitches need to get out of bed and I'll make them cheeseburgers (: #ImAHomie
22200,4,0,4,0,1,These bitches really be out here on backpage hoe-ing &#128557;&#128557;&#128557; watch yo bitch she could be on there !
22201,3,0,3,0,1,These bitches really love soda out here
22202,3,1,2,0,1,These bitches really marry to some rich ass niggas
22203,3,0,3,0,1,These bitches smell like fish &#128557;
22204,3,0,3,0,1,These bitches so broke instead of go get it they quick to go ask for somethin
22205,3,0,3,0,1,These bitches so redundant
22206,3,0,3,0,1,These bitches talking shit but they whisper it?
22207,3,0,3,0,1,These bitches think they know snap. Ha bitch I am snap
22208,3,0,3,0,1,These bitches want the next best thing
22209,3,0,3,0,1,"These bitches washed up, ain't no soap involved."
22210,4,0,1,3,2,These brownies are bomb!!!!!!!!! http://t.co/lKZLQQj7W1
22211,3,0,0,3,2,These brownies http://t.co/iyqRBn2AMf
22212,3,0,3,0,1,These bum ass bitches on my block drawin&#128530;
22213,3,0,3,0,1,These celebrity niggas be passing these Kardashian hoes around monthly
22214,3,1,2,0,1,These cheetos taste likka steak right nah boy these bitches going DUMB!!
22215,3,0,3,0,1,These chicks use what they got to get what they want. Bunch of Ronnie &amp; Trickz ass hoes.
22216,3,0,2,1,1,"These chubby hoes are always on a ""diet""......"
22217,3,0,3,0,1,These customers are fucking crazy this bitch said God will smite me because her dumbass locked herself out of her account.
22218,4,0,4,0,1,These days bitches be just letting anyone hit raw !!
22219,3,0,3,0,1,These fat hoes think they slick posting neck up pics and shit
22220,3,0,3,0,1,These girls eyebrows make them look like 2$ hoes walking down FIB
22221,3,0,3,0,1,These girls going to school with all kind og aquatic colored weaves in their head.Fuck going on?
22222,3,0,3,0,1,These groupie bitches wild enough to suck a babies dick
22223,3,1,2,0,1,These ho%e$ for everybody just like these niggahs for everybody! A hoe gone be a hoe regardless and (cont) http://t.co/m09Dow96rw
22224,3,0,3,0,1,These hoe ass niccas talkn shyt about a nicca make a nicca wanna go and snatch the bitch up outta nicca
22225,3,1,2,0,1,These hoe niggas havnt seen half of me. #2chainz
22226,6,0,6,0,1,These hoes a fool too http://t.co/VSzbNDU4K0
22227,3,1,2,0,1,These hoes a smash on one of yo niggas and be very proud
22228,3,0,3,0,1,These hoes ain't got nothing on ya
22230,6,0,5,1,1,These hoes ain't loyal &#128075;
22231,3,0,3,0,1,These hoes ain't loyal &#128527;
22232,3,0,3,0,1,These hoes ain't loyal @MyKat_Meows&#160;&#128530;
22233,3,0,3,0,1,These hoes ain't loyal RT @ArzySauced: @ItsNotHarold man thats the realest shirt i seen tonight. A chick with a flip phone robbed me
22234,3,0,3,0,1,These hoes ain't loyal RT @ComplexMag: Naya Rivera got married three months after breaking up with Big Sean: http://t.co/AlJctsTl82
22235,3,1,2,0,1,These hoes ain't loyal and niggas ain't either
22236,3,0,3,0,1,These hoes ain't loyal#
22237,3,1,2,0,1,These hoes ain't loyal...
22238,3,0,3,0,1,These hoes ain't loyallll
22239,3,0,3,0,1,These hoes ain't shit I ain't tripping off a Thot... ion like conversation you gone let me fuck or not
22240,3,0,3,0,1,These hoes ain't yours it's just yo turn #&#128175;&#128175; u hear me?
22242,3,0,3,0,1,These hoes aint loyal &#128076;
22243,3,0,3,0,1,These hoes aint yours
22244,3,0,3,0,1,These hoes always gone Thot around to who ever give them attention at the time
22245,3,0,2,1,1,These hoes are hilarious these days &#128514;&#128514;
22246,3,1,2,0,1,These hoes be actin up and these niccas be actin tough! &#128530;
22247,3,0,3,0,1,These hoes be boof smh
22248,3,0,3,0,1,These hoes be busting nuts when they get a RT
22249,3,0,3,0,1,"These hoes be flawgen i swear bruh, a nigga dont want yall"
22250,3,2,1,0,0,These hoes be lying to all of us nigga I got news for the monogamous niggas yo bitch fucking anonymous niggas!!!
22251,3,0,3,0,1,These hoes be thirsty for attention
22252,3,0,3,0,1,These hoes be trying 2much doing 2much
22253,6,0,6,0,1,These hoes cant fuck wit you
22254,3,0,3,0,1,These hoes crazy yo.
22255,3,0,2,1,1,These hoes don't get me in my feelings one bit.
22256,3,1,2,0,1,These hoes don't like a nigga they love my money these niggas don't like a nigga they all want some'n! http://t.co/iUGyRIMr4D
22257,3,0,3,0,1,These hoes everybody hoes lol go at any bitch bet u get her easy !
22258,3,0,3,0,1,These hoes get thick n fat confused way more than often!!!!!!!!
22259,6,0,6,0,1,These hoes gettin replaced soon as they start to fuck wit my cheques
22260,3,0,3,0,1,These hoes getting outta hand #mane
22261,3,0,3,0,1,These hoes getting smart gotta watch them
22262,3,0,2,1,1,These hoes going BROKE trying to look RICH. ACT your WAGE!
22263,3,1,2,0,1,These hoes got more bodies than a cemetery&#128056;&#9749;&#65039;.
22264,3,0,3,0,1,These hoes gotta pay for my company!
22265,3,1,2,0,1,These hoes here mane. You are what you let inside you. Remember.
22266,6,0,6,0,1,These hoes is lost RT @Dkellz34: @1Bcarter hahaha how much you wanna bet she don't get the job lmao
22267,3,0,3,0,1,These hoes kno bout me
22268,3,0,3,0,1,These hoes need Jesus y'all.
22269,3,0,2,1,1,These hoes need to stop hittin blunts and hit the gym unhealthy mfs &#128514;&#128514;&#128514;
22270,3,0,3,0,1,These hoes needa stop tryna split relationships and get they're own damn man
22271,3,0,3,0,1,These hoes out here be GOIN UP !!!!!!!! But we not at you bitches that's what hoes do !
22272,3,0,3,0,1,These hoes out here beefing bout as important as these hoes out here queefing. Y'all blowing vaginal wind back &amp; forth. STFU &amp; GET MONEY!
22273,3,1,2,0,1,"These hoes out here carrying infections, yaw niggas better rap up w/ dat Latex! Haha"
22274,3,0,3,0,1,These hoes pickin and choosin.. that's why these niggas stickin and movin
22275,6,0,5,1,1,These hoes really make me laugh lol
22276,3,0,3,0,1,These hoes say I'm too much. I think I'm too much
22277,3,0,3,0,1,These hoes soo &#127805;&#127936;
22278,3,1,2,0,1,These hoes swear their faithful
22279,3,0,3,0,1,These hoes they be homie hopping !!!! But idgf AIN'T NO FUN IF THA HOMIES CAN'T HAVE NUN !!!!!!!! GO UP THEN
22280,3,0,2,1,1,These hoes they loving the crewwww &#128564;
22281,3,0,3,0,1,These hoes want love so bad &#128514;&#128514;&#128078;&#128581;
22282,3,0,3,0,1,These hoes was just really fighting ova Some rally's tho on 30th&#128514;&#128514;
22283,3,0,2,1,1,These hoes will be exposed!!
22284,3,1,2,0,1,These hoes worried bout the wrong things in life
22285,3,1,2,0,1,These infected ass hoes think its okay to talk to other ppl boyfriend. Like that's not funny nor cute to pussy hop all over the place
22286,3,0,3,0,1,These kids man real life kids not even over 18 n bucking bitch sit yo stupid ass down
22287,3,0,3,0,1,These la bitches thirsty for a hit single
22288,3,0,3,0,1,These lame bitches don't have a fighting chance....!
22289,3,0,3,0,1,These lil hoes sitting across da way too fuckin loud. Like damn hoe your sittin less than 2 feet from each other shut the hell up
22290,3,0,3,0,1,These lil niggas can't hang big shit poppin bitch and big my first name
22291,3,0,3,0,1,"These little girls at Simons were telling me they like my huf socks, bitch go home &amp; do your homework"
22292,3,0,3,0,1,These new bottoms are something else... RT @ratch_t: You put nair on your pussy for the gram? Ok http://t.co/agcPqlY5wI
22293,3,1,2,0,1,These niccas sangin on dey partnas witout a Grammy award
22294,6,1,4,1,1,These niccas want war give me what you got #WeTheLastOnesLeft #UMightNotGetIn #BeerandTacOS http://t.co/xwTa1PUDZU
22295,3,1,2,0,1,These niggas ain't shit but hoes with tricks
22296,3,0,3,0,1,These niggas be actin like bitches
22297,3,0,3,0,1,These niggas cars be $800 and they have the nerve to put some 2500 rims and some speakers in the bitch
22298,3,0,3,0,1,"These niggas designing these bitches, they got zippers on hoes"
22299,6,2,4,0,1,These niggas groupies they act worse than these hoes do
22300,3,0,3,0,1,These niggas pillow talkin thats hoe shit
22301,3,0,3,0,1,These niggas pure pussy I see it in they faces
22302,3,1,2,0,1,These niggas rather love these hoes then get money smh what the fuck wrong with these niggas
22303,3,2,1,0,0,These niggas retarded... Lmfaoo
22304,3,0,3,0,1,These niggas run they mouth like bitches
22306,3,0,3,0,1,"These nigs is haters man, and I've made myself so easy to luv"
22307,3,0,3,0,1,These nigs like saying they miss the old vice
22308,3,1,2,0,1,These parents nd giving they kids ghetto ass names Ronkieshietta. Bro are you serious?? That tipped the scale fa me
22309,3,0,0,3,2,These peanut butter brownies bout to give me life too! &#128523;
22310,3,2,1,0,0,These people are fags.
22311,3,1,2,0,1,These people at jury selection are retarded
22312,3,0,3,0,1,These ratchet hoes are something else this school smells like a fucking zoo
22313,6,1,5,0,1,"These rednecks around here won't like that shit...put that wall up, they say"
22314,3,0,3,0,1,These shoes are going to be a bitch to break in tomorrow
22315,4,0,4,0,1,"These side bitches will wait til they know u wit ya lady to text u ""hey boo"" bitch gtfoh"
22316,3,0,3,0,1,These side bitches winning son ...
22317,3,0,3,0,1,These smoking commercials be blowing me. Like bitch it's yo fault yo child was premature shouldn't have been smoking while you was pregnant
22318,6,0,6,0,1,"These sons of bitches came into his chruch, threatened to kill him"
22319,3,0,3,0,1,"These women ain't shit but hoes w/ tricks , baby boy I'm different &#10084;&#65039;"
22320,3,0,3,0,1,These women ain't shit but hoes w/ tricks ; babygirl you different &#10084;&#65039;
22321,3,1,2,0,1,They are mostly restaurants. I'm a fat ho. RT @ImJustCeej: If you have more than 20 contacts in your phone you a hoe
22322,3,0,3,0,1,"They be looking at Tom Brady while he going off on tge sidelines like, Whatever bitch. Lol"
22323,3,0,3,0,1,They bitches I will penetrate you introduced me to your bitch
22324,3,0,3,0,1,They call me chief weak bitch
22325,6,0,1,5,2,They come out Charlie Sheen... They come out coupe machine @wontgetme_22
22326,3,0,0,3,2,They come to you out of the blue. They make others see red and green with envy. They aren't always black or white. You're not yellow luckily
22327,3,0,0,3,2,They didn't lose the city. Red Sox fans are bandwagon fans just like Yankee fan. #morningjoe
22328,3,0,3,0,1,They do the pussy good
22329,3,1,2,0,1,"They fail to realize Ion want ""Friends"" bitches switch up quiccer than I change the channel &#128175;"
22330,3,0,3,0,1,"They get attitudes like bitches too , i think some of yall niggas need a bra and panties"
22331,3,0,1,2,2,They got David taking out the trash &#128514;&#128514;&#128514;&#128514;
22332,3,1,2,0,1,They got some trashy ass hoes out here
22333,3,0,0,3,2,They got the redskins faking injuries
22334,3,0,3,0,1,They gotta keep the name Raiders tho they better not change it to some hillbilly ass Texas name
22335,3,0,3,0,1,"They had a steak category. 

Ran that bitch like a busto."
22336,3,0,3,0,1,"They hardly get sex...so when the opportunity of sick presents itself, their giving you some pussy...and boy are they generous"
22337,3,0,3,0,1,"They hating on you, because they know you bad, must be doing something right , if you got these bitches mad.!"
22338,3,0,0,3,2,They have a clumsy bird too lol what is life
22339,6,0,6,0,1,"They hoes ain't loyal, they rotate!"
22340,3,0,1,2,2,They love me at the place I bring my car to.....I don't know why Spanish men love me... sometimes I do look like a guala though Lol
22341,3,0,3,0,1,They make sure they have these reality shows lined up for you hoes.They won't leave you high and dry.
22342,3,0,0,3,2,They must be Russian birds! Russian birds are known for invading Chiminea. @SaintRPh @KimMarcumTexas
22343,3,0,3,0,1,They really should expand this bitch with all the money
22344,3,0,3,0,1,They rude RT @Anointed_Mouf: I wish you bitches would stop calling while I'm trying to get dicked down by your nigga &#128530;
22345,3,0,3,0,1,They say I wouldn't make it now them same bitches is calling my cellular
22346,3,0,3,0,1,They say life is what you make it bitch but I'm just tryna make it .. Straight up
22347,3,0,3,0,1,"They say numbers dont lie, bitch im not the 1"
22348,3,0,0,3,2,They say one man's trash is the next man's treasure. Where one finds pain the next might find pleasure.
22349,3,0,0,3,2,They say our state bird is rare...I literally see one at least once a day
22350,3,0,3,0,1,They should free all da real niccas n give the snitches da time
22351,3,2,1,0,0,They should have never gave a cracker a transmitter!!!!!! @realdjTV will flip when he sees this. http://t.co/cYCdbhbXkQ
22352,3,2,1,0,0,They slut for me they kill for me they steal for me and of course it'll be yo cash and I'll murder that bitch send the body back to yo ass
22353,3,0,3,0,1,They some bitch ass niggas
22354,3,0,3,0,1,They thought I wouldn't make it pussy nigga we made it
22355,3,1,2,0,1,"They told me to fuc wit bitches but never trust em 
They told me they my niggas but I never trust em"
22356,3,0,1,2,2,They took it there bro you know I'm civil. RT @lilmissStoney: @VikkiNoSecrets wait a minute! Lol. Don't get ghetto V!
22357,3,0,1,2,2,"They trying to hoe Todd gurley, Johnny manziel signed them helmets and got off but suspend gurley the rest of season"
22358,3,0,3,0,1,They trynna hoe Geno TD throw
22359,3,0,3,0,1,They updated Wukong's new splash so it doesn't look so fucking retarded
22360,3,0,1,2,2,They use to call my mom Japs when she was younger. Lol Asian racial slurs.
22361,3,0,0,3,2,"They were taking a picture and I saw a bird fly past and I was like, oh bird! @HeidyPalma21"
22362,3,0,3,0,1,"They wouldn't let me use my old picture cause my hair was flawless&#128129;. The woman at the front desk said I wouldn't have to retake, hatin' hoes"
